name,affiliation,homepage,scholarid,turing_award,acm_fellow,region,country,begin_time,end_time
Lin Chen 0009,Texas Tech University,https://www.depts.ttu.edu/cs/faculty/lin_chen,a0DapS0AAAAJ,0,0,america,us,2018,2022.0
Lin Zhong 0001,Yale University,https://cpsc.yale.edu/people/lin-zhong,hJPN-G8AAAAJ,0,0,america,us,2001,2022.0
Linda G. Shapiro,University of Washington,http://cs.washington.edu/homes/shapiro,6pGeV2wAAAAJ,0,0,america,us,2013,2022.0
Linda Ott,Michigan Technological University,https://www.mtu.edu/cs/department/faculty-staff/faculty/ott,HnxM2zkAAAAJ,0,0,america,us,2012,2019.0
Linda R. Petzold,"University of California, Santa Barbara",https://cse.cs.ucsb.edu,6IxWYR0AAAAJ,0,1,america,us,2010,2019.0
Lindsey Kuper,"University of California, Santa Cruz",https://users.soe.ucsc.edu/~lkuper,TNqlmxEAAAAJ,0,0,america,us,2008,2021.0
Ling Liu 0001,Georgia Institute of Technology,http://www.cc.gatech.edu/~lingliu,VIwtdckAAAAJ,0,0,america,us,2008,2021.0
Ling Wang,Nova Southeastern University,https://cec.nova.edu/faculty/wang.html,HwIAqgIAAAAJ,0,0,america,us,2016,2021.0
Lingfei Wu 0002,University of Pittsburgh,https://lingfeiwu.github.io,NoDUFVUAAAAJ,0,0,america,us,2010,2019.0
Lingjia Liu,University of Kansas,http://people.eecs.ku.edu/~lingjialiu,_d2M0xMAAAAJ,0,0,america,us,2002,2020.0
Lingjie Liu,University of Pennsylvania,https://lingjie0206.github.io,HZPnJ9gAAAAJ,0,0,america,us,2009,2020.0
Lingqi Yan 0001,"University of California, Santa Barbara",http://www.cs.ucsb.edu/~lingqi,IP5vaxAAAAAJ,0,0,america,us,2013,2022.0
Linh T. X. Phan,University of Pennsylvania,http://www.cis.upenn.edu/~linhphan,ojH7GEgAAAAJ,0,0,america,us,2006,
Lining Yao,Carnegie Mellon University,http://morphingmatter.cs.cmu.edu,FEnuzckAAAAJ,0,0,america,us,2002,
Linwei Wang,Rochester Institute of Technology,https://www.rit.edu/gccis/linwei-wang,CG56DzcAAAAJ,0,0,america,us,2000,2020.0
Lior Pachter,California Institute of Technology,http://pachterlab.github.io/biography.html,DKfEcuEAAAAJ,0,0,america,us,2017,2023.0
Lior Shamir,Kansas State University,http://people.cs.ksu.edu/~lshamir,mP-0XmYAAAAJ,0,0,america,us,2011,2022.0
Liping Liu 0001,Tufts University,https://www.eecs.tufts.edu/~liulp,aFaGunAAAAAJ,0,0,america,us,2002,2020.0
Lipyeow Lim,University of Hawaii at Manoa,http://www2.hawaii.edu/~lipyeow,_ILTBg0AAAAJ,0,0,america,us,2012,2020.0
Liqiang Wang,University of Central Florida,http://www.cs.ucf.edu/~lwang/index.html,mZKxB10AAAAJ,0,0,america,us,2000,2020.0
Liqing Zhang 0002,Virginia Tech,http://people.cs.vt.edu/~lqzhang,erM6KTMAAAAJ,0,0,america,us,2003,
Lirong Xia,Rensselaer Polytechnic Institute,http://www.cs.rpi.edu/~xial,C19mgCgAAAAJ,0,0,america,us,2007,2021.0
Lisa Anthony,University of Florida,https://lisa-anthony.com,GUucp2UAAAAJ,0,0,america,us,2016,2022.0
Lisa Hellerstein,New York University,http://engineering.nyu.edu/people/lisa-hellerstein,A45mhtsAAAAJ,0,0,america,us,2005,2020.0
Lisa Wu Wills,Duke University,https://www.lisawuwills.com,bAhJeo0AAAAJ,0,0,america,us,2000,2023.0
